Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.6949725873879532,74.38673000545128,0.45584948049333646,83.41645885286783
2,0.3212723264943308,88.70804454481738,0.5425026783719886,82.356608478803
3,0.2479271910232098,91.4648391869792,0.2059557758994273,93.01745635910224
4,0.1846347507043042,93.60641694572074,0.21680376770136026,92.08229426433915
5,0.1616937739413176,94.22942138462737,0.24467143637632907,92.39401496259352
6,0.14699309828010068,94.782337824157,0.19070832152505038,93.64089775561098
7,0.12195998799306021,95.7090569270306,0.35874598200126334,89.214463840399
8,0.1075880459894366,96.22303558912857,0.12664177685854594,96.07231920199501
9,0.11505964180496313,96.09843470134724,0.12942089455405112,95.76059850374065
10,0.09034656551237964,97.00957869324819,0.12616996687562063,95.57356608478803
11,0.07437953288465349,97.3911689120785,0.13774477793031467,95.88528678304239
12,0.09111943890152972,96.70586402928122,0.09515620301111445,96.57107231920199
13,0.0747727258614524,97.29771824624251,0.09429545033786757,96.69576059850374
14,0.06528322868696669,97.64815824312748,0.07807366617430926,97.44389027431421
15,0.05150721227823738,98.22443734911612,0.10625492779251781,96.00997506234414
16,0.06311744408315946,97.72603379799081,0.204827414591975,93.51620947630923
17,0.06263051977420495,97.8428471302858,0.06994633611508154,97.44389027431421
18,0.05202835618630654,98.16992446071178,0.0977382455001607,96.63341645885286
19,0.05125108914079425,98.0764737948758,0.09132548044850956,97.38154613466334
20,0.0520052076496916,98.11541157230745,0.08811747595564139,96.94513715710723
21,0.03132988561232359,98.82407912156374,0.054474575074488184,97.75561097256858
22,0.04527843902127896,98.40355112530177,0.10707877995642243,96.69576059850374
23,0.045890456676010105,98.40355112530177,0.1086457865946124,96.63341645885286
24,0.026818191866617446,99.09664356358539,0.07654102339891936,97.31920199501246
25,0.042360396461071335,98.4814266801651,0.06090968000554968,98.06733167082294
26,0.035454012310064044,98.75399112218675,0.09337658616914409,97.56857855361596
27,0.0268054016281107,99.19788178490772,0.0647392219562079,98.19201995012469
28,0.03807003885989462,98.73062845572775,0.07399134537938075,97.38154613466334
29,0.03019380747011283,98.97983023129039,0.09634552141567963,96.75810473815461
30,0.025061910855077064,99.12779378553073,0.10325451156773552,96.75810473815461
31,0.03201022036655242,98.9331048983724,0.1643899676967601,94.88778054862843
32,0.024649209816702954,99.14336889650339,0.05305940769014635,98.19201995012469
33,0.020198666647970574,99.41593333852504,0.06709535672300462,97.81795511221945
34,0.015355575484905577,99.46265867144304,0.07790800154685452,98.06733167082294
35,0.024938943629245813,99.06549334164006,0.1463923285294438,96.13466334164589
36,0.02337262596793424,99.26018222879839,0.10170964696032839,97.50623441396509
37,0.016169247773444598,99.44708356047038,0.0644461861074213,98.3790523690773
38,0.017592717200088048,99.39257067206604,0.08866045148286046,97.56857855361596
39,0.02425642566867739,99.18230667393505,0.10593232458555775,96.75810473815461
40,0.015564467171506254,99.43929600498403,0.07166511761106975,97.88029925187033
41,0.018285852682940043,99.42372089401137,0.09873070685464216,97.31920199501246
42,0.018199365321040082,99.4782337824157,0.07796610249213753,97.56857855361596
43,0.014198577634992694,99.51717155984737,0.07805945475761542,98.06733167082294
44,0.02417063793300439,99.18230667393505,0.11377350142283922,97.06982543640898
45,0.011387247874185802,99.66513511408769,0.06238883621662308,98.3790523690773
46,0.013918100182657404,99.57947200373803,0.052832115413358666,98.31670822942644
47,0.012495416471296747,99.54053422630636,0.1047174901591975,97.50623441396509
48,0.01943636538769183,99.3614204501207,0.07076835444335049,98.19201995012469
49,0.004031540717140396,99.85982400124601,0.04827893729144954,98.56608478802993
50,0.001212395253486611,99.99221244451367,0.04587794504797184,98.69077306733168
