Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.5427977906894325,80.17789820923657,1.1240495007710192,69.69839773798303
2,0.25420504809829025,91.31715362865222,0.35625461130619035,87.98303487276155
3,0.1797068458727496,94.00329877474081,0.21871795029801522,92.31856738925542
4,0.1557005265825858,94.56880301602261,0.1472008902467825,94.5334590009425
5,0.13531023108009285,95.38171536286522,0.12857685999154078,95.42884071630537
6,0.11465007209932877,96.0944863336475,0.115865733654564,96.04147031102734
7,0.10771748113003954,96.29476908576814,0.08202236729443269,96.98397737983035
8,0.10371871759523962,96.4714891611687,0.12012926772540616,95.85296889726673
9,0.09061394077322311,96.87205466540999,0.0835876615109928,96.88972667295005
10,0.0843193329214741,97.13124410933082,0.08201392436067137,97.2196041470311
11,0.0723479877510187,97.33152686145147,0.2261557342221347,92.13006597549482
12,0.08006873156826262,97.20193213949105,0.06308489967761044,97.87935909519321
13,0.07202011041725563,97.50235626767201,0.08141712703327368,97.36098020735156
14,0.065318165181017,97.75565504241281,0.10073726129607588,96.51272384542884
15,0.057486385818138516,97.95593779453345,0.09307053840226483,96.8426013195099
16,0.05669591275932576,97.9382657869934,0.05028271025687999,98.06786050895381
17,0.06259914779888287,97.814561734213,0.05339228089325888,98.16211121583412
18,0.057246262376276044,98.09142318567389,0.07034522487866726,97.26672950047126
19,0.04663914027341015,98.39184731385485,0.0505579904163637,98.11498586239397
20,0.04099559091184908,98.58623939679548,0.0937032694398013,96.65409990574929
21,0.048914484931164806,98.30348727615457,0.12431530006399187,95.85296889726673
22,0.045125723542146695,98.41540999057493,0.05534251333132861,98.30348727615457
23,0.04391202738284083,98.45075400565504,0.05400377635148949,98.02073515551366
24,0.041306125116918196,98.53911404335533,0.05367249591979351,98.02073515551366
25,0.02991270287218597,98.94557021677663,0.059909477312163395,98.11498586239397
26,0.030863982930169648,98.91611687087654,0.07261219822468566,97.45523091423186
