Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.8800983594647095,65.46997897360019,0.43221836523119683,84.4139650872818
2,0.3370689878898177,88.02273966202009,0.26666701654658137,91.08478802992519
3,0.2228440827370357,92.25138229109882,0.2354709330532206,91.77057356608479
4,0.16545424025403846,93.99579472003738,0.2122800082587478,93.3291770573566
5,0.13799647060199757,95.14056537652831,0.16189114318416267,94.45137157107231
6,0.12826948746719133,95.44428004049529,0.14118042019163782,95.38653366583542
7,0.10859776122046087,96.12179736780625,0.13946899193952206,95.94763092269326
8,0.08754520562120635,97.00179113776186,0.17127116931116598,94.88778054862843
9,0.08322772107478602,97.23541780235185,0.1386319274105009,95.38653366583542
10,0.0700218682652293,97.44568180048283,0.13947611001183335,95.01246882793018
11,0.07377536655276254,97.44568180048283,0.16429286903000082,95.32418952618454
12,0.08210858125230923,97.12639202554318,0.1676607740741198,95.13715710723191
13,0.05815018984878352,98.04532357293046,0.12450619894215172,96.57107231920199
14,0.056248774109999025,98.0297484619578,0.14228169615318592,96.3216957605985
15,0.06490695421625652,97.7961217973678,0.12534117946334533,96.19700748129675
16,0.04326255088518559,98.4347013472471,0.13068490711898118,96.44638403990025
17,0.05568655326934091,98.0764737948758,0.15822649678061737,95.44887780548629
18,0.04941357723515439,98.34903823689744,0.16159494556848758,95.32418952618454
19,0.04906056347938454,98.18549957168445,0.11839197561730386,96.63341645885286
20,0.04765808346449046,98.40355112530177,0.14905001861823097,95.51122194513715
21,0.045312311579658655,98.4347013472471,0.10135753125576168,96.94513715710723
22,0.03227651213330943,98.8396542325364,0.12484889325407318,96.75810473815461
23,0.03261434310157502,98.85522934350907,0.15474908941413443,96.63341645885286
24,0.04693046692109103,98.5515146795421,0.16104457880696477,96.00997506234414
25,0.027142886027510728,99.09664356358539,0.11669532500759373,97.13216957605985
26,0.02516030367324172,99.1200062300444,0.10783635158863482,97.38154613466334
27,0.032626370878601145,98.87080445448174,0.3095958273186835,92.95511221945137
28,0.03932675165504687,98.62160267891909,0.17303436633212568,96.07231920199501
29,0.032908136361457486,98.80071645510475,0.16406171752997267,96.07231920199501
30,0.02605796628852464,99.06549334164006,0.12087377458062788,97.44389027431421
31,0.031327859969705836,98.87859200996807,0.18827407274777658,95.88528678304239
