Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,1.161739742281425,46.82657113931937,1.4314969082977251,44.576059850374065
2,0.8399908791727094,60.5170936842925,0.9603623508473017,63.5286783042394
3,0.7488155958071276,70.39950159644887,0.6077388805870441,79.98753117206982
4,0.6776992497011204,76.1467175453625,0.6650353015244136,74.37655860349128
5,0.6317790783756408,77.96900552916439,0.5792717262072143,78.30423940149626
6,0.5878934579998699,80.18067128728292,0.7376373090055699,78.74064837905237
7,0.5810883596391228,80.66349972743556,0.43049791072471194,86.7206982543641
8,0.5435229604368779,82.7116268203411,0.46604776621643124,86.28428927680798
9,0.4906682524070218,84.00436103107235,0.8830372547710302,77.80548628428927
10,0.46438526632773935,84.89992991200063,0.5142264534927281,86.2219451371571
11,0.453940527875032,85.07904368818627,0.4819442614332571,86.9077306733167
12,0.44792953096515503,85.51514679542092,0.4315417074401029,88.2793017456359
13,0.4261454317848481,85.73319834903823,0.5821267952028468,84.4139650872818
14,0.4081160529558338,86.58982945253484,0.39564101535105295,88.5286783042394
15,0.3762060937226115,87.26734677984581,0.5292332156788225,87.09476309226933
16,0.3619410589856295,87.62557433221711,0.6683508159790661,82.85536159600997
17,0.38946599744964594,87.08044544817382,0.6102328004353327,87.28179551122194
18,0.36896143307844503,87.8124756638891,0.3764496449692614,88.5286783042394
19,0.366391123619987,87.71123744256678,0.4007451458180481,88.2793017456359
20,0.32698967507970866,88.70025698933105,0.505347588218363,88.84039900249377
21,0.3410679220745516,88.34202943695973,0.8022198650691834,83.66583541147132
22,0.4027561424902423,86.89354411650183,0.38068292448542035,89.46384039900249
23,0.29701943589902635,89.57246320380033,0.43237540069994335,90.21197007481297
24,0.2888815469891574,89.52573787088232,0.4882717883308775,89.214463840399
25,0.31441932352287555,89.14414765205203,0.3947330344183003,90.46134663341645
26,0.26880219467540284,90.20325519819329,0.4570594660357878,89.96259351620948
27,0.28966995660419487,89.494587648937,0.4709320230772876,90.02493765586036
28,0.2928502598768146,89.58025075928666,0.5482593637243217,89.65087281795512
