1,1,0,1,1
2,1,0,1,1
3,1,1,1,1
4,1,1,1,1
5,1,1,1,1
6,1,1,1,1
7,1,1,1,1
8,1,1,1,1
9,4,0,1,1
10,4,0,1,1
11,4,1,4,1
12,4,1,4,4
13,4,1,4,4
14,4,1,4,4
15,4,1,4,4
16,4,1,4,4
17,4,1,4,4
18,4,1,4,4
19,3,0,4,4
20,2,0,4,4
21,4,0,4,4
22,4,0,4,4
23,4,1,4,4
24,4,1,4,4
25,4,1,4,4
26,4,1,4,4
27,4,1,4,4
28,4,1,4,4
29,4,1,4,4
30,4,1,4,4
31,4,1,4,4
32,4,1,4,4
33,4,1,4,4
34,4,1,4,4
35,4,1,4,4
36,4,1,4,4
37,4,1,4,4
38,4,1,4,4
39,4,1,4,4
40,4,1,4,4
41,4,1,4,4
42,4,1,4,4
43,4,1,4,4
44,4,1,4,4
45,4,1,4,4
46,4,1,4,4
47,4,1,4,4
48,4,1,4,4
49,4,1,4,4
50,4,1,4,4
51,4,1,4,4
52,4,1,4,4
53,4,1,4,4
54,4,1,4,4
55,4,1,4,4
56,4,1,4,4
57,4,1,4,4
58,4,1,4,4
59,4,1,4,4
60,4,1,4,4
61,4,1,4,4
62,4,1,4,4
63,4,1,4,4
64,4,1,4,4
65,4,1,4,4
66,4,1,4,4
67,4,1,4,4
68,4,1,4,4
69,4,1,4,4
70,4,1,4,4
71,4,1,4,4
72,2,0,4,4
73,1,0,4,4
74,1,0,4,4
75,1,1,1,1
76,5,0,1,1
77,1,0,1,1
78,1,0,1,1
79,1,1,1,1
80,1,1,1,1
81,1,1,1,1
82,1,1,1,1
83,1,1,1,1
84,1,1,1,1
85,4,0,1,1
86,5,0,1,1
87,3,0,1,1
88,3,0,1,1
89,1,0,1,1
90,1,0,1,1
91,1,1,1,1
92,1,1,1,1
93,2,0,1,1
94,5,0,1,1
95,5,0,1,1
96,5,1,1,1
97,1,0,1,1
98,5,0,5,1
99,5,0,5,5
100,5,1,5,5
101,5,1,5,5
102,5,1,5,5
103,5,1,5,5
104,5,1,5,5
105,5,1,5,5
106,5,1,5,5
107,5,1,5,5
108,5,1,5,5
109,5,1,5,5
110,5,1,5,5
111,5,1,5,5
112,5,1,5,5
113,5,1,5,5
114,5,1,5,5
115,5,1,5,5
116,5,1,5,5
117,5,1,5,5
118,5,1,5,5
119,5,1,5,5
120,5,1,5,5
121,5,1,5,5
122,5,1,5,5
123,5,1,5,5
124,5,1,5,5
125,5,1,5,5
126,5,1,5,5
127,5,1,5,5
128,5,1,5,5
129,5,1,5,5
130,5,1,5,5
131,5,1,5,5
132,5,1,5,5
133,5,1,5,5
134,5,1,5,5
135,5,1,5,5
136,5,1,5,5
137,1,0,5,5
138,1,0,5,5
139,5,0,5,5
140,1,0,5,5
141,3,0,5,5
142,5,0,5,5
143,5,0,5,5
144,2,0,5,5
145,5,0,5,5
146,5,0,5,5
147,5,1,5,5
148,5,1,5,5
149,4,0,5,5
150,5,0,5,5
151,1,0,5,5
152,1,0,5,5
153,1,1,5,1
154,1,1,1,1
155,1,1,1,1
156,1,1,1,1
157,1,1,1,1
158,5,0,1,1
159,5,0,1,1
160,1,0,1,1
161,5,0,1,1
162,1,0,1,1
163,5,0,1,1
164,3,0,1,1
165,1,0,1,1
166,1,0,1,1
167,1,1,1,1
168,1,1,1,1
169,1,1,1,1
170,1,1,1,1
171,1,1,1,1
172,1,1,1,1
