Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,1.584991139855551,32.590919710302934,1.3660889261459999,43.266832917705734
2,1.0636276442613175,57.84596215248034,0.7118684045758947,73.75311720698254
3,0.5843544079741435,78.70882330036602,0.54904462676859,79.73815461346634
4,0.36210128921663287,87.65672455416245,0.25249059225422626,91.20947630922693
5,0.28361877769148397,90.28891830854295,0.2754663550035696,89.9002493765586
6,0.2585830629446465,90.9897983023129,0.2888853431280591,89.65087281795512
7,0.2326873504945925,92.1267814033175,0.17718461863385454,93.95261845386534
8,0.1793074582967518,93.76216805544739,0.23744587161362427,91.39650872817955
9,0.1710032902203908,94.11260805233238,0.14628281616115701,95.01246882793018
10,0.13398124424587768,95.31967915271396,0.16449627045405182,94.45137157107231
11,0.1464116251610442,94.89915115645199,0.18445029219374748,93.51620947630923
12,0.13887688437411885,95.31967915271396,0.17001030396791206,94.20199501246883
13,0.13844947753108075,95.26516626430963,0.17305780750322133,93.01745635910224
14,0.1283971868644802,95.68569426057161,0.11487294572450069,95.76059850374065
15,0.10310856377027132,96.20746047815591,0.12303323556584343,95.57356608478803
16,0.11103720931899247,96.41772447628689,0.11088884125904153,96.38403990024938
17,0.0973071103225768,96.67471380733588,0.12657124837987466,95.32418952618454
18,0.11442068108706156,96.09064714586091,0.11366698352551745,95.69825436408978
19,0.08823653448483702,96.96285336033019,0.11734543128945935,95.82294264339153
20,0.07135006351007232,97.52355735534616,0.14731699535904458,94.9501246882793
21,0.08331402188438612,97.33665602367417,0.12305577036778444,95.88528678304239
22,0.0783229259367504,97.2276302468655,0.12427800576019461,96.00997506234414
23,0.07086297770179067,97.53913246631882,0.08460316346537992,97.2568578553616
24,0.07950190551256395,97.28214313526983,0.09909041888012676,96.50872817955113
25,0.07333571032692061,97.53134491083249,0.16109255711594847,95.69825436408978
26,0.07466336811404149,97.3444435791605,0.09194536052653104,97.06982543640898
27,0.05832351135962819,98.05311112841679,0.11740695515447737,95.76059850374065
28,0.08124839150232717,97.43010668951017,0.11749661382963443,95.88528678304239
29,0.06090501425618396,97.94408535160812,0.1164151643699672,95.76059850374065
30,0.054208376153693096,98.14656179425279,0.0980470400761906,96.3216957605985
31,0.06114904575514091,97.87399735223113,0.12446226740922282,96.50872817955113
32,0.060378730580597575,97.78054668639514,0.09823017156114282,96.94513715710723
33,0.04984139694274225,98.20107468265711,0.13958529657135224,95.88528678304239
34,0.07947598721928181,97.4612569114555,0.15979245227155314,94.57605985037407
35,0.04386549975230145,98.45806401370609,0.22737342871048502,93.89027431421447
36,0.05166132234705913,98.20886223814345,0.10640693316604384,96.75810473815461
37,0.04723106964716247,98.49700179113776,0.09780051711835225,97.06982543640898
38,0.050612344083760516,98.26337512654777,0.14540206045496187,95.57356608478803
39,0.038181139319243614,98.77735378864574,0.12234488218136208,96.3216957605985
40,0.0807629440217835,97.36001869013317,0.17306481636349247,94.88778054862843
41,0.044943073379360626,98.48921423565143,0.07942134061925987,97.31920199501246
42,0.03618889156951352,98.82407912156374,0.09094350260116685,96.75810473815461
43,0.03333261988717737,98.9331048983724,0.09159088699409497,97.0074812967581
44,0.07056721825502243,97.70267113153182,0.09868396121283235,96.57107231920199
45,0.028121489213584875,99.06549334164006,0.16835732120449662,94.51371571072319
46,0.047139084978206215,98.23222490460245,0.21553077524119899,94.20199501246883
47,0.04470813956836695,98.5047893466241,0.12339629672348343,95.88528678304239
48,0.0366160937819722,98.9097422319134,0.09935732654233075,96.75810473815461
49,0.0281919964299914,99.01098045323573,0.0766455692937438,97.2568578553616
50,0.04281338240600542,98.76177867767308,0.08776575521772748,97.2568578553616
