Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,1.4509064162031133,67.34489659773182,3.840499055975261,49.46524064171123
2,1.1231344671959573,73.51567711807871,1.273545891997768,68.98395721925134
3,0.9861416956211658,77.51834556370913,1.066259487527099,75.93582887700535
4,0.9452211780751005,79.01934623082055,1.5716450718193524,71.12299465240642
5,0.882344016369353,79.65310206804536,1.0578803966826644,75.66844919786097
6,0.8474373754034651,81.38759172781855,1.137163038724127,74.8663101604278
7,0.7711402380720098,82.32154769846565,1.0343198002327185,79.14438502673796
8,0.8210445680516831,81.28752501667779,1.0331523190337304,75.40106951871658
9,0.7820030755185067,82.22148098732488,1.0000149044195779,77.54010695187166
10,0.7318890424484902,82.8552368245497,1.0685806794158672,79.41176470588235
11,0.778497726359266,82.3549032688459,1.2668266830378196,74.06417112299465
12,0.7482215204137437,83.52234823215477,0.9206894134186248,76.20320855614973
13,0.6975842828446246,84.25617078052035,0.9879737930299365,77.80748663101605
14,0.6820594649365608,84.52301534356238,1.128445601120671,75.1336898395722
15,0.6840376651033442,84.15610406937958,0.9325044257708156,77.80748663101605
16,0.6498094625929569,85.49032688458972,1.087330462084834,78.07486631016043
17,0.6408562812399357,85.657104736491,0.8625218424626205,82.0855614973262
18,0.6215627941679447,85.85723815877252,0.9736723828384158,78.87700534759358
19,0.5876211815692008,87.52501667778519,1.0819919874053074,77.54010695187166
20,0.6254503359185889,86.2908605737158,0.9969985211419967,80.4812834224599
21,0.6006006915518578,86.45763842561708,0.9736292177128822,81.01604278074866
22,0.5766597878425679,86.95797198132088,0.8741153825796615,80.21390374331551
23,0.5669190509522215,88.05870580386924,0.8528263475728991,82.0855614973262
24,0.5455693215765851,87.65843895930621,1.0274292697587155,79.41176470588235
25,0.5502992747945988,87.39159439626418,0.9676946884273371,81.28342245989305
26,0.5165220124924437,89.29286190793863,1.0741651837009298,80.21390374331551
27,0.5308961259557846,88.69246164109406,1.0278171537162966,80.74866310160428
28,0.5807854939014354,87.09139426284189,0.8745890091727646,81.01604278074866
29,0.5258657317212287,88.42561707805203,0.9566664020911408,82.0855614973262
30,0.5285596987034412,88.19212808539027,1.0806804570871502,79.41176470588235
31,0.497052179689103,89.25950633755838,1.0471179521358824,79.67914438502673
32,0.48421712822102486,89.45963975983989,1.0474604653617252,78.07486631016043
33,0.45180063710567797,90.09339559706471,1.0215041953706592,81.28342245989305
34,0.4383630911086468,90.527018012008,1.1216915284544169,80.74866310160428
35,0.4305020586607304,90.76050700466978,1.3933404483723475,81.01604278074866
36,0.48484064036227287,89.59306204136091,1.1744686607248283,82.0855614973262
37,0.44881308839676226,90.62708472314877,1.3257409035115786,76.47058823529412
38,0.49922599659321154,90.09339559706471,1.220680158497894,79.94652406417113
39,0.5120019842969611,89.45963975983989,1.4567154569919893,78.34224598930481
40,0.5387939347865733,88.55903935957305,0.9729327949457789,78.87700534759358
41,0.4430980923327994,90.79386257505003,1.181990661097372,78.87700534759358
42,0.39935935938611944,91.19412941961308,1.131220931959613,81.01604278074866
43,0.3585730527943753,93.12875250166778,1.251065879833227,78.6096256684492
44,0.3326429643846573,93.3288859239493,1.2068763585368365,80.74866310160428
45,0.3434168262050507,92.86190793862575,1.2973456061596922,81.28342245989305
46,0.3151460740160435,93.3955970647098,1.25888009281432,79.67914438502673
47,0.36398622235085104,92.26150767178119,1.3096397334154846,79.14438502673796
48,0.3823570729570186,91.96130753835891,1.1827900125554323,80.74866310160428
49,0.307857113949796,93.89593062041361,1.19370896004599,81.01604278074866
50,0.4005136236231378,92.29486324216144,1.3301296846827504,79.41176470588235
