Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.6596258815146435,74.73491988689915,0.2910686603138783,89.30254476908577
2,0.24071342627852874,91.58812441093308,0.22557662164560474,92.27144203581527
3,0.17853052078933926,94.12111215834119,0.14854651458911788,95.38171536286522
4,0.14187645112829048,95.12252591894439,0.12902338716479408,95.14608859566447
5,0.1136308536613132,96.1592836946277,0.14319094578203595,95.61734213006598
6,0.10721483628358516,96.48916116870876,0.15232212030022627,94.6277097078228
7,0.09539423832141929,96.7836946277097,0.18131853051491947,93.92082940622055
8,0.08584152794751758,97.04877474081056,0.11694307296557892,95.99434495758719
9,0.0790896396101812,97.29029217719133,0.12475086194006925,96.08859566446749
10,0.0688823656448235,97.7497643732328,0.11168801899419406,96.41847313854853
11,0.07294430668341266,97.37865221489162,0.11184361337369247,96.7483506126296
12,0.06244634774785617,97.95004712535344,0.15611668699450193,95.66446748350613
13,0.05248209340879325,98.18567389255419,0.09308617261957111,97.0311027332705
14,0.05203002920819218,98.23279924599434,0.0666923112702422,97.7851083883129
15,0.05325662452981215,98.1562205466541,0.07132551797084508,97.87935909519321
16,0.044239759698465005,98.54500471253534,0.08749235771349503,96.98397737983035
17,0.03708239433140995,98.79241281809614,0.09880803407122248,97.45523091423186
18,0.04068415021634987,98.751178133836,0.07181453777292425,97.54948162111216
19,0.0414428509566398,98.50377002827521,0.13021125404950243,96.04147031102734
20,0.0413874867812883,98.5921300659755,0.048204433317361635,98.25636192271442
21,0.024603034785349955,99.2518850141376,0.06322739607303118,97.50235626767201
22,0.036602946600112214,98.82775683317625,0.09881958439096014,97.0311027332705
23,0.03094542396153495,98.9691328934967,0.11025117443868286,96.79547596606974
24,0.031879827130221756,98.95146088595665,0.1464746623305536,95.57021677662583
25,0.019691249645328156,99.26366635249764,0.09972306763979388,97.1253534401508
26,0.027253348816740807,99.15174363807729,0.11187217448451071,96.70122525918944
27,0.035217091227575666,98.9043355325165,0.05946577813777331,98.39773798303487
28,0.015316580343101713,99.45216776625824,0.05754512987596058,98.49198868991517
29,0.03528629604117493,98.85131950989633,0.057306842486396274,98.49198868991517
30,0.021241935279372768,99.25777568331762,0.0770067878841647,97.54948162111216
